Training GAN on device: cuda
Starting Training Loop...
[1/40][0/76] Loss_D: 1.4250 Loss_G: 1.8769
[1/40][50/76] Loss_D: 0.0051 Loss_G: 6.8046
[2/40][0/76] Loss_D: 0.0031 Loss_G: 7.2423
[2/40][50/76] Loss_D: 0.0019 Loss_G: 7.6477
[3/40][0/76] Loss_D: 0.0022 Loss_G: 7.8702
[3/40][50/76] Loss_D: 0.8698 Loss_G: 2.1078
[4/40][0/76] Loss_D: 1.2973 Loss_G: 1.2086
[4/40][50/76] Loss_D: 0.6039 Loss_G: 2.2757
[5/40][0/76] Loss_D: 0.5336 Loss_G: 3.0212
[5/40][50/76] Loss_D: 0.8831 Loss_G: 5.8902
[6/40][0/76] Loss_D: 0.7889 Loss_G: 3.3657
[6/40][50/76] Loss_D: 1.0386 Loss_G: 1.9537
[7/40][0/76] Loss_D: 1.2010 Loss_G: 2.4079
[7/40][50/76] Loss_D: 0.9742 Loss_G: 1.8439
[8/40][0/76] Loss_D: 0.9527 Loss_G: 1.5365
[8/40][50/76] Loss_D: 1.1829 Loss_G: 1.5637
[9/40][0/76] Loss_D: 1.0019 Loss_G: 1.7684
[9/40][50/76] Loss_D: 0.9829 Loss_G: 1.4720
[10/40][0/76] Loss_D: 1.1562 Loss_G: 1.5019
[10/40][50/76] Loss_D: 1.2498 Loss_G: 1.7189
[11/40][0/76] Loss_D: 1.0501 Loss_G: 1.7508
[11/40][50/76] Loss_D: 1.2321 Loss_G: 2.8589
[12/40][0/76] Loss_D: 1.6916 Loss_G: 3.7350
[12/40][50/76] Loss_D: 0.9311 Loss_G: 1.9984
[13/40][0/76] Loss_D: 0.9744 Loss_G: 1.9673
[13/40][50/76] Loss_D: 1.0525 Loss_G: 2.0308
[14/40][0/76] Loss_D: 1.7783 Loss_G: 3.5256
[14/40][50/76] Loss_D: 1.1197 Loss_G: 2.5828
[15/40][0/76] Loss_D: 1.2564 Loss_G: 2.2533
[15/40][50/76] Loss_D: 1.3385 Loss_G: 1.8354
[16/40][0/76] Loss_D: 0.9528 Loss_G: 1.8481
[16/40][50/76] Loss_D: 1.2032 Loss_G: 1.1564
[17/40][0/76] Loss_D: 1.2293 Loss_G: 1.5462
[17/40][50/76] Loss_D: 0.7970 Loss_G: 2.0769
[18/40][0/76] Loss_D: 1.2787 Loss_G: 1.3566
[18/40][50/76] Loss_D: 1.0314 Loss_G: 3.1043
[19/40][0/76] Loss_D: 0.7623 Loss_G: 2.3633
[19/40][50/76] Loss_D: 2.2328 Loss_G: 2.1982
[20/40][0/76] Loss_D: 0.9532 Loss_G: 2.2009
[20/40][50/76] Loss_D: 0.8712 Loss_G: 2.5738
[21/40][0/76] Loss_D: 0.9768 Loss_G: 2.1298
[21/40][50/76] Loss_D: 1.0191 Loss_G: 1.4545
[22/40][0/76] Loss_D: 1.4158 Loss_G: 4.0022
[22/40][50/76] Loss_D: 1.6946 Loss_G: 4.1278
[23/40][0/76] Loss_D: 0.3871 Loss_G: 2.2674
[23/40][50/76] Loss_D: 0.8632 Loss_G: 3.0815
[24/40][0/76] Loss_D: 1.2243 Loss_G: 2.6324
[24/40][50/76] Loss_D: 1.0740 Loss_G: 3.0966
[25/40][0/76] Loss_D: 1.0425 Loss_G: 2.8261
[25/40][50/76] Loss_D: 1.1625 Loss_G: 2.5031
[26/40][0/76] Loss_D: 0.7401 Loss_G: 2.3927
[26/40][50/76] Loss_D: 0.5068 Loss_G: 1.6936
[27/40][0/76] Loss_D: 0.6441 Loss_G: 1.9563
[27/40][50/76] Loss_D: 0.9698 Loss_G: 2.7664
[28/40][0/76] Loss_D: 0.9208 Loss_G: 2.4534
[28/40][50/76] Loss_D: 0.6257 Loss_G: 2.8258
[29/40][0/76] Loss_D: 0.9926 Loss_G: 1.8308
[29/40][50/76] Loss_D: 0.8321 Loss_G: 3.2611
[30/40][0/76] Loss_D: 0.8543 Loss_G: 2.3168
[30/40][50/76] Loss_D: 0.6317 Loss_G: 3.6760
[31/40][0/76] Loss_D: 0.3955 Loss_G: 2.2254
[31/40][50/76] Loss_D: 1.1230 Loss_G: 2.4518
[32/40][0/76] Loss_D: 0.5557 Loss_G: 2.9228
[32/40][50/76] Loss_D: 0.7886 Loss_G: 4.2220
[33/40][0/76] Loss_D: 1.0764 Loss_G: 1.1048
[33/40][50/76] Loss_D: 0.8254 Loss_G: 3.3800
[34/40][0/76] Loss_D: 1.1876 Loss_G: 4.0008
[34/40][50/76] Loss_D: 1.0503 Loss_G: 4.5151
[35/40][0/76] Loss_D: 0.4350 Loss_G: 2.4534
[35/40][50/76] Loss_D: 0.4683 Loss_G: 2.4547
[36/40][0/76] Loss_D: 0.9423 Loss_G: 4.7445
[36/40][50/76] Loss_D: 1.3867 Loss_G: 5.7092
[37/40][0/76] Loss_D: 0.5231 Loss_G: 3.5386
[37/40][50/76] Loss_D: 0.3729 Loss_G: 3.3082
[38/40][0/76] Loss_D: 0.4095 Loss_G: 2.9785
[38/40][50/76] Loss_D: 0.7901 Loss_G: 4.8819
[39/40][0/76] Loss_D: 0.1941 Loss_G: 3.2746
[39/40][50/76] Loss_D: 0.7659 Loss_G: 3.6961
[40/40][0/76] Loss_D: 0.4337 Loss_G: 2.6973
[40/40][50/76] Loss_D: 0.4413 Loss_G: 3.5566
Successfully saved 'gan_loss_plot.png' and 'gan_generated_brains.png'
